client_id,variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
8619538,Test,7.0,92.0,32,U,2.0,63568.8,6.0,9.0
6506090,Control,10.0,130.0,41,F,3.0,220326.79,6.0,9.0
7135517,Test,12.0,152.0,58,F,3.0,434251.4,3.0,6.0
6330960,Control,15.0,181.0,32,M,2.0,34677.119999999995,5.0,8.0
3308225,Test,11.0,143.0,57,M,2.0,39067.41,2.0,5.0
6836496,Test,8.0,97.0,42,U,2.0,51297.4,3.0,6.0
5854054,Test,5.0,70.0,38,U,2.0,65459.03,2.0,5.0
2833457,Test,10.0,123.0,58,F,2.0,33776.58,3.0,6.0
8822717,Test,22.0,268.0,74,F,2.0,128526.96,3.0,6.0
1809578,Control,10.0,130.0,64,F,2.0,99112.34,6.0,9.0
5675982,Control,23.0,277.0,48,M,3.0,630977.75,5.0,8.0
8063374,Control,8.0,106.0,34,F,2.0,55409.52,0.0,3.0
3068965,Test,6.0,82.0,30,M,3.0,31701.4,3.0,6.0
695624,Control,8.0,100.0,32,F,2.0,26119.94,0.0,3.0
9937492,Test,12.0,146.0,36,M,2.0,160549.41999999998,6.0,9.0
1674694,Control,3.0,46.0,34,U,2.0,37678.51,0.0,3.0
9920774,Control,4.0,58.0,30,U,2.0,38515.96,1.0,4.0
8311223,Control,20.0,240.0,40,F,3.0,48345.96,2.0,5.0
7074464,Test,4.0,58.0,46,U,2.0,47587.75,6.0,9.0
5959892,Control,13.0,163.0,42,M,2.0,95248.54,0.0,3.0
1919775,Control,26.0,313.0,70,M,3.0,93564.26,4.0,7.0
3271404,Test,10.0,121.0,26,U,2.0,30469.88,2.0,5.0
2592273,Control,5.0,68.0,38,U,3.0,34043.43,5.0,8.0
9441120,Test,10.0,121.0,23,M,3.0,66511.25,6.0,9.0
1072312,Test,14.0,172.0,55,M,2.0,80507.06,5.0,8.0
4429356,Test,15.0,189.0,60,M,2.0,132354.38,2.0,5.0
9961809,Control,4.0,58.0,50,U,2.0,101223.63,4.0,7.0
9454031,Test,6.0,78.0,38,U,2.0,24698.81,1.0,4.0
2810081,Test,11.0,143.0,36,M,2.0,108729.78,4.0,7.0
1962746,Test,5.0,63.0,51,M,2.0,51939.57,6.0,9.0
8335505,Test,4.0,59.0,36,U,2.0,56324.23,5.0,8.0
7571228,Test,16.0,196.0,30,M,2.0,30041.55,0.0,3.0
4665224,Test,6.0,83.0,56,U,2.0,88945.88,2.0,5.0
5680002,Test,21.0,263.0,64,F,2.0,330903.01,3.0,6.0
1731624,Control,12.0,152.0,53,F,2.0,186499.95,2.0,5.0
5155130,Test,6.0,72.0,29,U,2.0,28692.52,1.0,4.0
2049570,Control,22.0,264.0,42,M,2.0,34282.73,1.0,4.0
6322195,Control,13.0,156.0,56,F,2.0,40794.6,5.0,8.0
2941566,Test,9.0,109.0,56,M,2.0,57833.64,0.0,3.0
5645822,Test,12.0,154.0,48,M,2.0,295584.49,3.0,6.0
124572,Control,15.0,180.0,52,M,2.0,88213.62,6.0,9.0
3119303,Control,9.0,111.0,58,F,3.0,82956.26,6.0,9.0
186857,Test,9.0,119.0,60,F,2.0,144091.78,4.0,7.0
3674412,Control,23.0,280.0,54,F,2.0,406602.4,6.0,9.0
6957942,Test,15.0,184.0,52,U,4.0,93203.36,6.0,9.0
272934,Control,5.0,66.0,58,U,2.0,27021.42,2.0,5.0
770810,Control,25.0,305.0,26,F,2.0,23959.1,4.0,7.0
9850294,Control,8.0,97.0,22,U,2.0,47144.84,4.0,7.0
5961620,Test,21.0,262.0,62,F,2.0,75590.48999999999,3.0,7.0
7980063,Test,20.0,249.0,64,M,2.0,33388.68,0.0,3.0
9753276,Test,12.0,149.0,36,M,3.0,450033.6,3.0,6.0
6718212,Test,18.0,219.0,46,M,2.0,61509.38,6.0,9.0
9630732,Test,6.0,82.0,42,U,2.0,65743.57,1.0,4.0
1312532,Test,20.0,244.0,60,M,2.0,49563.1,5.0,8.0
8731665,Control,9.0,112.0,28,M,3.0,86436.18,6.0,9.0
1763424,Test,8.0,96.0,71,U,2.0,590130.5,3.0,6.0
6279904,Test,6.0,76.0,45,M,2.0,42964.37,2.0,5.0
7654114,Control,15.0,180.0,46,M,2.0,35845.71,5.0,8.0
1931619,Test,14.0,177.0,24,M,2.0,33797.13,5.0,8.0
2625271,Control,27.0,326.0,55,F,3.0,125950.68,6.0,9.0
7322871,Test,23.0,280.0,39,U,2.0,115118.19,3.0,6.0
1991360,Test,6.0,81.0,34,U,2.0,67208.2,1.0,5.0
2204322,Test,5.0,70.0,24,U,2.0,34273.009999999995,0.0,3.0
3876293,Test,6.0,73.0,38,U,2.0,36144.58,1.0,4.0
